"Land","Jahr","Kategorie","Wert"
"Belgien",2000,"KM1",354687
"Dänemark",2000,"KM1",6919
"Deutschland",2000,"KM1",4916283
"Finnland",2000,"KM1",69801
"Frankreich",2000,"KM1",201062
"Grossbritannien",2000,"KM1",427458
"Griechenland",2000,"KM1",22565
"Island",2000,"KM1",150
"Italien",2000,"KM1",579228
"Litauen",2000,"KM1",1680
"Luxemburg",2000,"KM1",48848
"Malta",2000,"KM1",4160
"Niederlande",2000,"KM1",200892
"Norwegen",2000,"KM1",94746
"Österreich",2000,"KM1",258981
"Polen",2000,"KM1",1307
"Rumänien",2000,"KM1",0
"Schweden",2000,"KM1",100521
"Slowakei",2000,"KM1",1645
"Spanien",2000,"KM1",38120
"Tschechien",2000,"KM1",3990
"Ungarn",2000,"KM1",50
"Ägypten",2000,"KM1",378263
"Elfenbeinküste",2000,"KM1",3000
"Guinea",2000,"KM1",2273
"Kenia",2000,"KM1",6250
"Niger",2000,"KM1",484
"Südafrika",2000,"KM1",21060
"Sudan",2000,"KM1",2400
"Tansania",2000,"KM1",1335
"Tunesien",2000,"KM1",0
"Argentinien",2000,"KM1",19320
"Barbados",2000,"KM1",90628
"Belize",2000,"KM1",10585
"Brasilien",2000,"KM1",0
"Chile",2000,"KM1",198867
"Ecuador",2000,"KM1",6114
"Honduras",2000,"KM1",765
"Kanada",2000,"KM1",62375
"El Salvador",2000,"KM1",17390
"USA",2000,"KM1",2941579
"Venezuela",2000,"KM1",76913
"Vereinigte Arabische Emirate",2000,"KM1",1289356
"Bahrain",2000,"KM1",0
"Brunei",2000,"KM1",8820
"Hong-Kong",2000,"KM1",20104
"Japan",2000,"KM1",2880
"Jordanien",2000,"KM1",41922
"Kuwait",2000,"KM1",2310
"Malaysia",2000,"KM1",34020
"Oman",2000,"KM1",89645
"Pakistan",2000,"KM1",0
"Philippinen",2000,"KM1",202110
"Saudi-Arabien",2000,"KM1",28800
"Singapur",2000,"KM1",0
"Südkorea",2000,"KM1",11453
"Thailand",2000,"KM1",14910
"Belgien",2001,"KM1",206503
"Dänemark",2001,"KM1",4850
"Deutschland",2001,"KM1",4400894
"Finnland",2001,"KM1",104930
"Frankreich",2001,"KM1",476648
"Grossbritannien",2001,"KM1",393011
"Griechenland",2001,"KM1",5805
"Irland",2001,"KM1",830
"Island",2001,"KM1",300
"Italien",2001,"KM1",697442
"Kasachstan",2001,"KM1",92000
"Luxemburg",2001,"KM1",66537
"Lettland",2001,"KM1",33284
"Litauen",2001,"KM1",9345
"Malta",2001,"KM1",1130
"Niederlande",2001,"KM1",218819
"Norwegen",2001,"KM1",90795
"Österreich",2001,"KM1",169099
"Polen",2001,"KM1",2380
"Portugal",2001,"KM1",42
"Rumänien",2001,"KM1",0
"Schweden",2001,"KM1",94599
"Slowakei",2001,"KM1",79467
"Slowenien",2001,"KM1",1804
"Spanien",2001,"KM1",100136
"Tschechien",2001,"KM1",26876
"Türkei",2001,"KM1",39440
"Zypern",2001,"KM1",670
"Ägypten",2001,"KM1",84914
"Botswana",2001,"KM1",1980
"Burkina Faso",2001,"KM1",1700
"Elfenbeinküste",2001,"KM1",14269
"Gabun",2001,"KM1",1800
"Kenia",2001,"KM1",1710
"Madagaskar",2001,"KM1",400
"Malawi",2001,"KM1",1100
"Südafrika",2001,"KM1",9540
"Sudan",2001,"KM1",800
"Sambia",2001,"KM1",1483
"Uganda",2001,"KM1",5700
